Timestamp,fav_alcohol,parties_per_month,smoke,weed,introvert_extrovert,love_first_sight,learning_style,left_right_brained,personality_type,social_media,num_insta_followers,streaming_platforms,expected_marriage_age,expected_starting_salary,fav_sport,minutes_ex_per_week,sleep_hours_per_day,how_happy,farthest_distance_travelled,fav_number,fav_letter,internet_hours_per_day,only_child,birthdate_odd_even,birth_month,fav_season,living_location_on_campus,major,num_majors_minors,high_school_GPA,NU_GPA,age,height,height_father,height_mother,school_year,procrastinator,num_clubs,student_athlete,AP_stats,used_python_before,dominant_hand,childhood_in_US,gender,region_of_residence,political_affliation,cant_change_math_ability,can_change_math_ability,math_is_genetic,much_effort_is_lack_of_talent
2022/09/18 2:03:36 pm GMT-5,Hard liquor/Mixed drink,6,No,Yes,Extrovert,0,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram;Snapchat;TikTok,1100,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,28,150000,Softball,15,8,Pretty happy,8000,10,K?,5,0,Even,June,Fall,Neither,Social Sciences / Education,2,4.3,3.93,20,67,66,66,Junior,0,3,0,0,1,Left,1,Female,West,Democrat,0,1,0,1
2022/09/18 2:03:44 pm GMT-5,I don't drink,0,No,No,Introvert,0,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",INFJ,Snapchat,300,Netflix;Hulu;Amazon Prime,27,70000,Basketball,,8,Pretty happy,,22,J,,0,Even,January,Spring,North campus,Math / Statistics / Computer Science,2,4.08,4.1,19,72,68,65,Sophomore,1,2,0,0,1,Right,1,Male,Midwest,Republican,1,1,0,1
2022/09/18 5:30:03 pm GMT-5,I don't drink,2,No,No,Introvert,1,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Twitter;Snapchat;TikTok,700,Hulu;Amazon Prime,27,100000,Football,150,7,Pretty happy,7900,22,S,5,0,Even,February,Fall,Neither,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,3,,3.65,20,74,73,67,Junior,1,3,0,1,1,Right,1,Male,Northeast,No affiliation,0,0,1,1
2022/09/18 9:08:01 pm GMT-5,Hard liquor/Mixed drink,1,No,Occasionally,Introvert,0,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram;Snapchat,700,Netflix;Hulu,30,70000,tennis,180,6,Pretty happy,,8,S,2,0,Even,August,Winter,South campus,Social Sciences / Education,3,,3.8,21,65,71,64,Senior,1,3,0,1,1,Right,1,Female,Southeast,Democrat,0,1,0,0
2022/09/18 9:32:14 pm GMT-5,Hard liquor/Mixed drink,4,No,No,Extrovert,0,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Instagram,1636,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,25,75000,Volleyball,240,7,Pretty happy,1272,10,R,3,0,Even,May,Fall,South campus,Math / Statistics / Computer Science,3,4.98,,19,,,,Sophomore,1,6,0,1,1,Right,0,Female,Southwest,Democrat,0,1,0,0
2022/09/18 9:41:16 pm GMT-5,I don't drink,0,No,No,Introvert,1,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,Facebook;Instagram,850,Netflix,30,70000,Formula One,60,8,Pretty happy,8700,2,c,4,0,Odd,January,Fall,South campus,Math / Statistics / Computer Science,2,,3.9,20,65,70,61,Junior,1,2,0,0,1,Left,0,Female,International,No affiliation,1,0,0,0
2022/09/18 10:24:50 pm GMT-5,Hard liquor/Mixed drink,5,No,No,Introvert,1,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Twitter;Snapchat;TikTok,1147,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,26,110000,Baseball,1200,7,Not too happy,4189,31,C,6,1,Odd,January,Fall,North campus,Math / Statistics / Computer Science,2,6.6,3.7,19,80,79,64,Sophomore,1,1,1,1,1,Right,1,Male,Midwest,Democrat,0,1,0,1
2022/09/19 12:11:40 am GMT-5,Hard liquor/Mixed drink,7,No,No,Introvert,0,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",Unknown,Instagram;TikTok,1150,Netflix;Hulu,32,85000,Volleyball,210,7,Pretty happy,5935,7,Z,7.5,0,Even,January,Fall,South campus,Math / Statistics / Computer Science,2,4,3.855,19,64,74,62,Sophomore,1,1,0,0,0,Right,1,Female,Midwest,Democrat,0,1,0,0
2022/09/19 11:36:04 am GMT-5,Beer,6,No,Yes,Introvert,0,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Twitter;Snapchat;TikTok,900,Netflix;Hulu;HBO Max;Disney+,27,100000,Basketball,360,8,Pretty happy,4500,4,J,8,0,Even,October,Winter,North campus,Math / Statistics / Computer Science,1,3.8,3.8,19,66,69,62,Sophomore,0,1,0,1,1,Right,1,Male,Midwest,No affiliation,1,0,1,0
2022/09/19 11:42:44 am GMT-5,Beer,6,Occasionally,Occasionally,Introvert,1,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Facebook;Instagram;Snapchat,1400,Netflix;Hulu;Amazon Prime,26,200000,Swimming,720,9,Pretty happy,4300,7,T,4,0,Even,October,Winter,North campus,Math / Statistics / Computer Science,4,4.8,3.9,19,79,72,68,Sophomore,0,4,0,0,1,Right,1,Male,West,Democrat,0,1,0,0
2022/09/19 12:01:27 pm GMT-5,Wine,9,No,Occasionally,Extrovert,0,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",ENTJ,Instagram;Snapchat;TikTok,2587,Netflix;Hulu;Amazon Prime,27,100000,Hockey,240,7,Pretty happy,708,3,E,4,0,Odd,April,Fall,South campus,Humanities / Communications;Social Sciences / Education,3,3.97,3.81,19,62,70,64,Sophomore,0,3,0,0,1,Both,1,Female,Southeast,Independent,1,0,0,1
2022/09/19 12:17:36 pm GMT-5,Hard liquor/Mixed drink,8,No,Occasionally,Extrovert,0,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Instagram;Snapchat;TikTok,1400,Netflix;Amazon Prime,26,100000,Hockey,360,8,Pretty happy,4800,19,K,8,0,Odd,February,Fall,North campus,Social Sciences / Education,2,4.97,3.78,19,76,73,63,Sophomore,1,3,0,1,1,Right,1,Male,Midwest,Independent,1,0,0,0
2022/09/19 1:14:52 pm GMT-5,Beer,2,No,No,Introvert,1,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Snapchat,425,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,28,75000,soccer,240,8,Very happy,2130,3,C,5,0,Odd,August,Spring,North campus,Humanities / Communications;Math / Statistics / Computer Science,2,,3.75,19,69,68,64,Sophomore,0,2,0,0,1,Right,1,Male,Northeast,Democrat,0,1,0,0
2022/09/19 1:38:18 pm GMT-5,Hard liquor/Mixed drink,6,No,Yes,Introvert,0,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Twitter,,Netflix;Amazon Prime;HBO Max,37,50000,Golf,250,8,Pretty happy,8000,69,P,8,0,Odd,November,Fall,North campus,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,2,3.7,3.28,20,66,64,63,Junior,1,3,0,0,1,Right,1,Male,Midwest,Independent,0,1,0,0
2022/09/19 1:38:42 pm GMT-5,Wine,6,No,Occasionally,Introvert,0,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Facebook;Instagram;Snapchat,2000,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,28,80000,Soccer,180,7,Not too happy,4500,8,T,6,0,Even,January,Fall,South campus,Humanities / Communications;Math / Statistics / Computer Science,3,4.7,3.8,20,64,70,64,Junior,1,4,0,0,1,Right,1,Female,Midwest,Democrat,0,1,0,0
2022/09/19 2:26:30 pm GMT-5,Hard liquor/Mixed drink,10,No,No,Introvert,1,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFP,Instagram;TikTok,750,Netflix;Hulu;Amazon Prime,28,60000,Badminton,600,8,Not too happy,7500,5,m,5,0,Odd,March,Winter,Neither,Physical Sciences / Natural Sciences / Engineering,2,3.9,3.3,20,63,70,64,Junior,1,2,0,1,1,Right,1,Female,Midwest,Democrat,0,1,0,1
2022/09/19 2:32:26 pm GMT-5,I don't drink,12,No,Occasionally,Introvert,0,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INFP,Instagram;Snapchat;TikTok,1500,Netflix;Hulu;HBO Max,28,100000,Volleyball,120,7,Pretty happy,7403,7,A,7,0,Even,July,Fall,North campus,Social Sciences / Education;Math / Statistics / Computer Science,3,3.7,3.82,19,66,70,62,Sophomore,1,4,0,1,0,Right,1,Female,Northeast,Democrat,0,1,0,0
2022/09/19 2:38:15 pm GMT-5,I don't drink,0,No,No,Introvert,0,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Snapchat,858,Netflix,35,75000,Football (American),,8,Don't know,2600,3,W,5,0,Even,July,Fall,North campus,Social Sciences / Education;Math / Statistics / Computer Science,4,,3.83,21,75,75,68,Junior,0,2,0,0,1,Right,1,Male,Midwest,Democrat,0,1,0,1
2022/09/19 2:39:04 pm GMT-5,Hard liquor/Mixed drink,6,No,Occasionally,Introvert,0,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Snapchat,1600,Netflix,28,110000,baseball,360,7,Pretty happy,7620,16,C,4,0,Even,January,Winter,Neither,Math / Statistics / Computer Science,2,4.625,3.86,20,64,67,60,Junior,0,5,0,0,1,Right,1,Female,Midwest,Democrat,0,0,0,0
2022/09/19 4:32:32 pm GMT-5,Hard liquor/Mixed drink,6,No,Occasionally,Extrovert,0,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Instagram;Snapchat;TikTok,1270,Netflix;Hulu;Amazon Prime;HBO Max,27,100000,Tennis,120,7,Pretty happy,7672,21,A,5,0,Odd,September,Summer,South campus,Math / Statistics / Computer Science,2,3.96,,20,66,69,65,Sophomore,1,3,0,0,1,Right,1,Female,West,Democrat,0,1,0,0
2022/09/19 4:43:47 pm GMT-5,Hard liquor/Mixed drink,55,No,Yes,Extrovert,1,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Facebook;Instagram;Twitter;Snapchat;TikTok,1311,Netflix;Hulu;Amazon Prime;HBO Max,28,100000,Skiing,20,6,Pretty happy,3829,7,A,4,0,Odd,February,Summer,Neither,Social Sciences / Education;Math / Statistics / Computer Science,2,97,3.6,20,64,71,59,Junior,0,2,0,1,1,Right,1,Female,Northeast,Democrat,0,1,0,0
